ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000725.SZ,2026-01-12,4.45,4.51,4.43,4.46,4.41,0.05,1.1338,8673354.26,3880721.785
000725.SZ,2026-01-13,4.48,4.55,4.44,4.46,4.46,0.0,0.0,9137920.34,4094740.341
000725.SZ,2026-01-14,4.54,4.73,4.53,4.6,4.46,0.14,3.139,17724765.89,8199024.927
000725.SZ,2026-01-15,4.54,4.61,4.5,4.53,4.6,-0.07,-1.5217,8700734.04,3955664.026
000725.SZ,2026-01-16,4.55,4.57,4.44,4.46,4.53,-0.07,-1.5453,8670025.83,3877046.504
000725.SZ,2026-01-19,4.43,4.54,4.42,4.51,4.46,0.05,1.1211,7046849.23,3171097.852
000725.SZ,2026-01-20,4.51,4.53,4.42,4.45,4.51,-0.06,-1.3304,7452622.22,3316657.79
000725.SZ,2026-01-21,4.44,4.51,4.43,4.46,4.45,0.01,0.2247,7448743.89,3329437.119
000725.SZ,2026-01-22,4.46,4.48,4.38,4.4,4.46,-0.06,-1.3453,7855614.84,3464389.19
000725.SZ,2026-01-23,4.41,4.51,4.39,4.45,4.4,0.05,1.1364,10667076.97,4758781.999
000725.SZ,2026-01-26,4.48,4.55,4.47,4.47,4.45,0.02,0.4494,8984303.15,4049436.157
000725.SZ,2026-01-27,4.47,4.6,4.45,4.56,4.47,0.09,2.0134,10984987.92,4981911.62
000725.SZ,2026-01-28,4.55,4.58,4.5,4.53,4.56,-0.03,-0.6579,8123266.97,3682445.602
000725.SZ,2026-01-29,4.52,4.54,4.41,4.45,4.53,-0.08,-1.766,8639900.73,3857667.101
000725.SZ,2026-01-30,4.43,4.45,4.25,4.37,4.45,-0.08,-1.7978,9623972.86,4172981.84
000725.SZ,2026-02-02,4.32,4.37,4.23,4.24,4.37,-0.13,-2.9748,7248654.55,3116746.259
000725.SZ,2026-02-03,4.3,4.33,4.22,4.31,4.24,0.07,1.6509,6299312.86,2691952.493
000725.SZ,2026-02-04,4.3,4.42,4.29,4.39,4.31,0.08,1.8561,7454418.78,3262242.003
000725.SZ,2026-02-05,4.37,4.41,4.34,4.41,4.39,0.02,0.4556,6053281.52,2650425.564
000725.SZ,2026-02-06,4.38,4.42,4.34,4.37,4.41,-0.04,-0.907,4937934.05,2163713.431
000725.SZ,2026-02-09,4.41,4.42,4.33,4.35,4.37,-0.02,-0.4577,5361544.55,2337830.516
000725.SZ,2026-02-10,4.34,4.35,4.27,4.32,4.35,-0.03,-0.6897,4476845.0,1927873.395
000725.SZ,2026-02-11,4.31,4.34,4.28,4.29,4.32,-0.03,-0.6944,3719746.0,1601277.108
000725.SZ,2026-02-12,4.29,4.3,4.22,4.23,4.29,-0.06,-1.3986,5176990.04,2198451.661
000725.SZ,2026-02-13,4.21,4.23,4.17,4.18,4.23,-0.05,-1.182,5374416.9,2253914.035
